t,Q05_S_p,Q25_S_p,Q50_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Q50_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Q50_I_v,Mean_I_v,Q75_I_v,Q95_I_v,Q05_Y_p,Q25_Y_p,Q50_Y_p,Mean_Y_p,Q75_Y_p,Q95_Y_p
40.0,0.00644418048425404,0.011517538835145466,0.01844588882529945,0.027515807774135603,0.032323012923590265,0.07907709350198118,0.5786927405795325,0.6995673584876629,0.7542337447519438,0.7380882683716425,0.7954558535645372,0.8451677812734655,9.713050884384252,9.907764710401073,10.035873615941519,10.032446983870736,10.162633152995541,10.339935560987378,0.6433467062729458,0.8116035231442854,0.9095964219050842,0.8807493318067782,0.9934486919584223,1.0
41.0,0.006271956441754045,0.0112256446420363,0.018121022602978328,0.027401561748718745,0.03135740328320058,0.08102162901661532,0.5871674113783352,0.7077689050143369,0.7613163791840729,0.7450315273442735,0.8016480819547721,0.8488992228244419,9.8562462389137,10.055011781240783,10.18347067211761,10.178609577228949,10.309387390861444,10.483317299128405,0.653467046051471,0.8235297053460565,0.9233802041950384,0.8904046261447623,1.0,1.0
42.0,0.0061058064335549524,0.011159924004976805,0.017904767373936537,0.02695272617591445,0.030796345407143624,0.07837762839998426,0.5949658335600215,0.7156708022559879,0.7672648592645637,0.75174054909828,0.8076038730135751,0.8526109241009637,9.999617488625352,10.19863791753433,10.32713622074353,10.321367385994673,10.452237721598562,10.624173207646612,0.6625411883893726,0.8353736686995078,0.9367001564408892,0.8991548689128166,1.0,1.0
43.0,0.006066304592474731,0.011032678346224708,0.01748785405952539,0.026498250572029636,0.030117638763256044,0.0764616140776765,0.6034912354869554,0.7239666537595479,0.7741802952387541,0.7580958167666018,0.8128084717439414,0.855594731109817,10.13522494585528,10.33873071345325,10.46841863741848,10.460812184138346,10.592212140000267,10.760882631692297,0.6717453424124162,0.8465213615114381,0.9502456965071902,0.9070584256089317,1.0,1.0
44.0,0.00601146254900056,0.010685950416679548,0.01730319348162343,0.02594333664424209,0.02980529039369208,0.0742614055684315,0.6134765378887092,0.7322835838067521,0.7804368468818518,0.7641711584758082,0.8173726456544269,0.8593224610442152,10.268896996367465,10.475700348135897,10.605634574631196,10.59696070427035,10.728288782315094,10.894797396778332,0.6801748406545401,0.8574373807376692,0.963166282432262,0.9141850681325775,1.0,1.0
45.0,0.005968484037711359,0.010660103550969923,0.01699936771961229,0.025628908736174707,0.028933461007352453,0.07367011238524622,0.6183568275574939,0.7381244577367809,0.7859359446222625,0.7696522571200319,0.822448998360876,0.862461675404513,10.401813005846824,10.60916816882151,10.740068981298839,10.729848310603083,10.860940553504804,11.025233069710717,0.6896419149513322,0.8679503139446361,0.9753895834033632,0.9206741308323398,1.0,1.0
46.0,0.005905357049526724,0.01042304254648513,0.016415737774575306,0.02482615987925246,0.028193304962783307,0.07100948079256537,0.6267577963730213,0.7454405067994886,0.7917950840325506,0.7753537550718104,0.8269541004613077,0.8654733893530614,10.527617080603727,10.740046982507293,10.87045627493335,10.859541760567275,10.989836347109328,11.153143754549918,0.6994928352663143,0.8787797196715316,0.9878225832193459,0.926556903582148,1.0,1.0
47.0,0.005783691986755631,0.010313302169411979,0.016414520933003853,0.02461552688962468,0.02808483856263074,0.07001776031195543,0.6352795525375348,0.7507325134239439,0.7970700286448746,0.7802191363154883,0.8305900146241898,0.8679328548226726,10.653840148395304,10.868011780729274,10.997736731023936,10.986095030271306,11.115138685682338,11.27629645881632,0.7078843546805949,0.8892529096120753,0.9994838310255304,0.9319270602555584,1.0,1.0
48.0,0.005686718276672169,0.010071657844530351,0.016183030363651218,0.024328556209584636,0.027903944959617528,0.06979974081297005,0.6405654620162805,0.756629315392245,0.8018307622210269,0.7848633976487066,0.8345069281436155,0.8707494738784861,10.777813195614284,10.993108761424388,11.12119886187472,11.109522839863793,11.237846807874854,11.397559807897643,0.7170516115965531,0.8999286085621957,1.0,0.9368289135146478,1.0,1.0
49.0,0.005685835752902669,0.00997897546130538,0.015914240831714232,0.02406258241696092,0.027437198665337656,0.07002112914337152,0.6470084997941271,0.76096033128597,0.8055563598883762,0.7891453585262901,0.8382834765761327,0.8728267798242569,10.897384260507078,11.114913670992944,11.242570386180006,11.229843324486737,11.3578795038841,11.514536452966395,0.7254719269053099,0.9105564481931586,1.0,0.9412910879411545,1.0,1.0
50.0,0.005632588985701338,0.0099375302610633,0.015741249041360195,0.02403142552299151,0.027420268109187046,0.0691371870149707,0.6500943544027915,0.7655724900298472,0.8101460851211117,0.7928803771949797,0.8417037360081746,0.8750331465021068,11.015365540871677,11.234454011571673,11.361370443864711,11.347091514486587,11.474184964456487,11.62886621287308,0.7337650977894555,0.9205694739370738,1.0,0.9454099757701702,1.0,1.0
